nom,nom_arabe,nom_berbere,type_etablissement,ville,adresse,adresse_arabe,telephone,site_web,note,nombre_avis,statut_ouverture,latitude,longitude,url_google_maps,terme_recherche,photos_count,langues_detectees,date_extraction,horaires_ouverture,avis_recents,services
Dr Dounia Belghazi psychothérapie - psychiatrie- طبيب نفسي,طبيب نفسي,,Psychiatre,Afourar,"au-dessus de Mcdonald's 2mars، Résidence Amsterdam, Angle 2mars et rue Amstardam, Av. 2 Mars, Casablanca 20250",،,+2125228-62207,,"4,4",63,Fermé ⋅ Ouvre à 09:00 lun.,33.575962,-7.6152729,https://www.google.com/maps/place/Dr+Dounia+Belghazi+psychoth%C3%A9rapie+-+psychiatrie-+%D8%B7%D8%A8%D9%8A%D8%A8+%D9%86%D9%81%D8%B3%D9%8A%E2%80%AD/data=!4m7!3m6!1s0xda7d2a65e86446f:0x1730717ffe9193d8!8m2!3d33.575962!4d-7.6152729!16s%2Fg%2F11c31ngdg4!19sChIJb0SGXqbSpw0R2JOR_n9xMBc?authuser=0&hl=fr&rclk=1,طبيب نفساني,0,arabe|francais,2025-07-06T02:03:34.774755,{},[],[]
Dr Anouar REDA :PSYCHIATRE - ADDICTOLOGUE- SEXOLOGUE طبيب نفسي,طبيب نفسي,,Psychiatre,Afourar,"75 Rue Abou Alâa Zahr, Casablanca 20250",,+2125228-60465,https://www.google.com/url?q=http://www.monpsychiatre.ma/&opi=79508299&sa=U&ved=0ahUKEwiD853xhKeOAxVnXaQEHWxuEZ8Q61gIEigO&usg=AOvVaw2Yp-VtrEhLxpHhBygFY8RL,"4,5",203,Fermé ⋅ Ouvre à 00:00 lun.,33.573054,-7.6195359,https://www.google.com/maps/place/Dr+Anouar+REDA+:PSYCHIATRE+-+ADDICTOLOGUE-+SEXOLOGUE+%D8%B7%D8%A8%D9%8A%D8%A8+%D9%86%D9%81%D8%B3%D9%8A%E2%80%AD/data=!4m7!3m6!1s0xda7d30d2e1a23bb:0x3444d35ef1ac1642!8m2!3d33.573054!4d-7.6195359!16s%2Fg%2F11h9nvlx1j!19sChIJuyMaLg3Tpw0RQhas8V7TRDQ?authuser=0&hl=fr&rclk=1,معالج نفسي,0,arabe|francais,2025-07-06T02:04:24.281011,{},[],[]
Centre de Renforcement des Capacités des Jeunes Afourer,,,Centre culturel,Afourar,"R304, Afourer 22050",,+2125234-41992,,"5,0",8,Fermé ⋅ Ouvre à 09:00 lun.,32.2070381,-6.5384878,https://www.google.com/maps/place/Centre+de+Renforcement+des+Capacit%C3%A9s+des+Jeunes+Afourer/data=!4m7!3m6!1s0xda47d74f93ac245:0xa0e90be48ca5fb3e!8m2!3d32.2070381!4d-6.5384878!16s%2Fg%2F11b66h28w2!19sChIJRcI6-XR9pA0RPvuljOQL6aA?authuser=0&hl=fr&rclk=1,مركز التأهيل,0,francais,2025-07-06T02:05:08.245935,{},[],[]
Afourar,,,,Afourar,,,,,"3,9",3,,32.216667,-6.5,https://www.google.com/maps/place/Afourar/data=!4m7!3m6!1s0xda47ddc6e7c23b7:0x58cb188f0fc6f6!8m2!3d32.216667!4d-6.5!16s%2Fm%2F0b6jpxj!19sChIJtyN8btx9pA0R9sYPjxjLWAA?authuser=0&hl=fr&rclk=1,ⴰⵎⴰⵙⵙⴰⵏ ⵏ ⵓⵙⴰⵏ,0,francais,2025-07-06T02:05:52.848080,{},[],[]
Afourer,,,,Afourar,,,,,"3,9",3,,32.2069633,-6.5396999,https://www.google.com/maps/place/Afourer/data=!4m7!3m6!1s0xda47da1cbf1c49f:0x6e429be7d9464c36!8m2!3d32.2069633!4d-6.5396999!16s%2Fg%2F1n0bxt68r!19sChIJn8Txy6F9pA0RNkxG2eebQm4?authuser=0&hl=fr&rclk=1,ⴰⵎⴰⵙⵙⴰⵏ ⵏ ⵜⴷⵓⴽⵜⵓⵔ,0,francais,2025-07-06T02:06:40.225532,{},[],[]
Cabinet psychiatrie Dr Fatima Asouab,,,Médecin,Afourar,"Bd Oued Oum Rabia, Casablanca 20250",,+2125229-05970,,"4,0",68,Fermé ⋅ Ouvre à 09:00 lun.,33.5608485,-7.6709074,https://www.google.com/maps/place/Cabinet+psychiatrie+Dr+Fatima+Asouab/data=!4m7!3m6!1s0xda7d333632988e5:0x888e95d74e982646!8m2!3d33.5608485!4d-7.6709074!16s%2Fg%2F11fzd1xl0g!19sChIJ5YgpYzPTpw0RRiaYTteVjog?authuser=0&hl=fr&rclk=1,دكتور نفسي,0,francais,2025-07-06T02:07:28.859173,{},[],[]
Centre de psychiatrie,,,Hôpital psychiatrique,Afourar,"8JHW+HQQ, Béni Mellal",,,,"5,0",5,Ouvert 24h/24,32.3283919,-6.3520533,https://www.google.com/maps/place/Centre+de+psychiatrie/data=!4m7!3m6!1s0xda3870054489347:0xfa5112883e6e7dbd!8m2!3d32.3283919!4d-6.3520533!16s%2Fg%2F11wmw39j0l!19sChIJR5NIVACHow0RvX1uPogSUfo?authuser=0&hl=fr&rclk=1,مصحة نفسية,0,francais,2025-07-06T02:08:15.564349,{},[],[]
"Dr Meriem Malek, Psychiatre",,,Psychiatre,Agadir,"Av. Des Forces Armees Royales, Agadir 80000",,+212 5288-23969,,"4,8",73,Fermé ⋅ Ouvre à 09:00 lun.,30.4292236,-9.588623,"https://www.google.com/maps/place/Dr+Meriem+Malek,+Psychiatre/data=!4m7!3m6!1s0xdb3b7b0d3ba2e39:0xf49d044610dede13!8m2!3d30.4292236!4d-9.588623!16s%2Fg%2F11kk4sflcl!19sChIJOS6607C3sw0RE97eEEYEnfQ?authuser=0&hl=fr&rclk=1",psychiatre,0,francais,2025-07-06T02:10:10.334162,{},[],[]
wissam ezzahar,,,Psychologue,Agadir,"immeuble RANINO Av. Moulay Hassan I, Agadir 80000",,+212525-038030,,"4,7",114,Fermé ⋅ Ouvre à 09:00 lun.,30.4129782,-9.566614,https://www.google.com/maps/place/wissam+ezzahar/data=!4m7!3m6!1s0xdb3b789eb468447:0xb6e7e240366427fc!8m2!3d30.4129782!4d-9.566614!16s%2Fg%2F11hy8ct1_s!19sChIJR4RG64m3sw0R_CdkNkDi57Y?authuser=0&hl=fr&rclk=1,psychologue,3,francais,2025-07-06T02:11:02.620395,{},[],[]
Centre D'addictologie Sidi Moumen,,,Centre de désintoxication,Agadir,"2, Casablanca 20250",,+212612-257693,,"4,4",8,Fermé ⋅ Ouvre à 09:00 lun.,33.574978,-7.524159,https://www.google.com/maps/place/Centre+D%27addictologie+Sidi+Moumen/data=!4m7!3m6!1s0xda7cb4e8d78acff:0xbee9a43c4a9667a0!8m2!3d33.574978!4d-7.524159!16s%2Fg%2F11fswg9nmq!19sChIJ_6x4jU7Lpw0RoGeWSjyk6b4?authuser=0&hl=fr&rclk=1,centre désintoxication,5,francais,2025-07-06T02:13:12.380573,{},[],[]
hôpital de psychiatrie d'agadir,,,Hôpital psychiatrique,Agadir,"CF89+V3X, Agadir 80000",,,,"3,0",3,,30.4172473,-9.5322784,https://www.google.com/maps/place/h%C3%B4pital+de+psychiatrie+d%27agadir/data=!4m7!3m6!1s0xdb3c900012d3ebb:0x1bff9d1118bbaa38!8m2!3d30.4172473!4d-9.5322784!16s%2Fg%2F11w8gmlps3!19sChIJuz4tAQDJsw0ROKq7GBGd_xs?authuser=0&hl=fr&rclk=1,hôpital psychiatrique,2,francais,2025-07-06T02:14:03.382768,{},[],[]
Projet Hopital Psychiatrique Spécialisé CHU AGADIR,,,Hôpital psychiatrique,Agadir,"CF49+VHQ, Agadir 80000",,,,"3,0",3,,30.4072096,-9.5310307,https://www.google.com/maps/place/Projet+Hopital+Psychiatrique+Sp%C3%A9cialis%C3%A9+CHU+AGADIR/data=!4m7!3m6!1s0xdb3c9bf8c0ca453:0x9935d795234f7fbd!8m2!3d30.4072096!4d-9.5310307!16s%2Fg%2F11q3vx4m19!19sChIJU6QMjL_Jsw0RvX9PI5XXNZk?authuser=0&hl=fr&rclk=1,clinique psychiatrique,0,francais,2025-07-06T02:14:52.130408,{},[],[]
Cabinet de Psychiatrie Dr soukaina TAKY EDDINE عيادة الطب النفسي-د.سكينة تقي الدين,عيادة الطب النفسي د سكينة تقي الدين,,Psychiatre,Agadir,"1er étage, bureau numéro 3, imm. Borj AlHikma, Avenue Hassan 1er، Agadir 80000",،,+2125282-25697,,"5,0",86,Fermé ⋅ Ouvre à 09:00 lun.,30.4134426,-9.5674648,https://www.google.com/maps/place/Cabinet+de+Psychiatrie+Dr+soukaina+TAKY+EDDINE+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A-%D8%AF.%D8%B3%D9%83%D9%8A%D9%86%D8%A9+%D8%AA%D9%82%D9%8A+%D8%A7%D9%84%D8%AF%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0xdb3b717490220e3:0x6743bbc1262249bd!8m2!3d30.4134426!4d-9.5674648!16s%2Fg%2F11wv4zcrv_!19sChIJ4yACSRe3sw0RvUkiJsG7Q2c?authuser=0&hl=fr&rclk=1,centre santé mentale,0,arabe|francais,2025-07-06T02:15:50.457980,{},[],[]
عيادة الترويض الطبي cabinet de kinésithérapie et reeducation physique drainage lymphatiques manuels أخصائية العلاج الطبيعي,عيادة الترويض الطبي أخصائية العلاج الطبيعي,,Centre de rééducation,Agadir,Ave Ghandi، Agadir 80060، اكادير 80000,، ، اكادير,+212666-304163,,"4,9",152,Fermé ⋅ Ouvre à 09:00 lun.,30.4161858,-9.5576046,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AA%D8%B1%D9%88%D9%8A%D8%B6+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A+cabinet+de+kin%C3%A9sith%C3%A9rapie+et+reeducation+physique+drainage+lymphatiques+manuels+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A%D8%A9+%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A%E2%80%AD/data=!4m7!3m6!1s0xdb3b7cc5d869aaf:0xf981a153ba7670e1!8m2!3d30.4161858!4d-9.5576046!16s%2Fg%2F11gpnj4hgg!19sChIJr5qGXcy3sw0R4XB2ulOhgfk?authuser=0&hl=fr&rclk=1,centre réhabilitation,0,arabe|francais,2025-07-06T02:16:39.208056,{},[],[]
Psychologue agadir - Farida Rahmouni - Éventail Expertise,,,Psychologue,Agadir,"Immeuble I Résidence Itrane bureau 54, 4eme étage, Agadir 80000",,+212676-272162,https://www.google.com/url?q=http://www.eventailexpertise.com/&opi=79508299&sa=U&ved=0ahUKEwi0-fvlh6eOAxWLaUEAHfgmCPYQ61gIEigO&usg=AOvVaw2N6_3vRrXGFyifwva9JoKk,"4,6",20,Fermé ⋅ Ouvre à 09:30 lun.,30.391197,-9.5402382,https://www.google.com/maps/place/Psychologue+agadir+-+Farida+Rahmouni+-+%C3%89ventail+Expertise/data=!4m7!3m6!1s0xdb3c9767f6e5653:0xe632293f873f0047!8m2!3d30.391197!4d-9.5402382!16s%2Fg%2F11kw3t6hpk!19sChIJU1Zuf3bJsw0RRwA_hz8pMuY?authuser=0&hl=fr&rclk=1,thérapeute,0,francais,2025-07-06T02:17:26.782698,{},[],[]
Centre d’addictologie,,,Hôpital,Agadir,"Bd Abderrahim Bouabid, Agadir 80000",,+2125282-21500,https://www.google.com/url?q=https://m.facebook.com/agaddict2017&opi=79508299&sa=U&ved=0ahUKEwirzrL9h6eOAxXST0EAHcQnB8IQ61gIEigO&usg=AOvVaw37GetNa1KV2UO9-xHZnWxL,"4,5",12,Fermé ⋅ Ouvre à 09:00 lun.,30.4098094,-9.5845825,https://www.google.com/maps/place/Centre+d%E2%80%99addictologie/data=!4m7!3m6!1s0xdb3b6540a051aff:0x9e244b5d5df6320b!8m2!3d30.4098094!4d-9.5845825!16s%2Fg%2F11dzxgy13x!19sChIJ_xoFClS2sw0RCzL2XV1LJJ4?authuser=0&hl=fr&rclk=1,addictologue,0,francais,2025-07-06T02:18:19.019366,{},[],[]
Docteur Abdelaziz SADAK,,,Psychothérapeute,Agadir,"CCG5+3MF, Agadir 80000",,+212 5288-25389,,"3,0",9,Ouvert 24h/24,30.4251759,-9.5908251,https://www.google.com/maps/place/Docteur+Abdelaziz+SADAK/data=!4m7!3m6!1s0xdb3b7038f4b53ef:0x849e5c32d1ea7328!8m2!3d30.4251759!4d-9.5908251!16s%2Fg%2F11rc9p66gn!19sChIJ71NLjwO3sw0RKHPq0TJcnoQ?authuser=0&hl=fr&rclk=1,طبيب نفسي,0,francais,2025-07-06T02:19:06.579117,{},[],[]
AKDITAL AGADIR - Hôpital International d’Agadir,,,Hôpital,Agadir,Agadir 80000,,+2125282-07171,https://www.google.com/url?q=https://hiagadir.ma/&opi=79508299&sa=U&ved=0ahUKEwilgYjWiKeOAxVqQkEAHeniABgQ61gIESgN&usg=AOvVaw0MCbbpxkCYKC05t5Dlf9SD,"3,2",527,Ouvert 24h/24,30.4145902,-9.5387765,https://www.google.com/maps/place/AKDITAL+AGADIR+-+H%C3%B4pital+International+d%E2%80%99Agadir/data=!4m7!3m6!1s0xdb3c968695df2eb:0x6f78d31280c44d35!8m2!3d30.4145902!4d-9.5387765!16s%2Fg%2F11rxwd9d8g!19sChIJ6_JdaWjJsw0RNU3EgBLTeG8?authuser=0&hl=fr&rclk=1,مستشفى نفسي,0,francais,2025-07-06T02:21:21.334385,{},[],[]
Cabinet de psychiatrie Dr AJAOUI Nadia عيادة الطب النفسي الدكتورة نادية اجواي,عيادة الطب النفسي الدكتورة نادية اجواي,,Psychiatre,Agadir,"N°43, Immeuble Amal Souss, Av. Moulay Hassan I, Agadir 80000",,+212640-042994,,"4,0",18,Fermé ⋅ Ouvre à 09:00 lun.,30.4119713,-9.5647473,https://www.google.com/maps/place/Cabinet+de+psychiatrie+Dr+AJAOUI+Nadia+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D9%86%D8%A7%D8%AF%D9%8A%D8%A9+%D8%A7%D8%AC%D9%88%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0xdb3b7d6aa254f1d:0x573cc7472045b5e4!8m2!3d30.4119713!4d-9.5647473!16s%2Fg%2F11y3d5zym3!19sChIJHU8lqta3sw0R5LVFIEfHPFc?authuser=0&hl=fr&rclk=1,عيادة نفسية,0,arabe|francais,2025-07-06T02:22:13.554647,{},[],[]
CENTRE SANAD مركز سند,مركز سند,,Psychologue,Agadir,"9FFG+QJQ, Agadir 80000",,,,"3,0",2,Ouvert ⋅ Ferme à 20:30,30.374558,-9.523343,https://www.google.com/maps/place/CENTRE+SANAD+%D9%85%D8%B1%D9%83%D8%B2+%D8%B3%D9%86%D8%AF%E2%80%AD/data=!4m7!3m6!1s0xdb3c9067bf8d503:0x56f18416263bede9!8m2!3d30.374558!4d-9.523343!16s%2Fg%2F11s42t22q_!19sChIJA9X4ewbJsw0R6e07JhaE8VY?authuser=0&hl=fr&rclk=1,مركز الصحة النفسية,0,arabe|francais,2025-07-06T02:22:58.946527,{},[],[]
Cabinet Dr Abouihia Brahim,,,Psychiatre,Agadir,"immeuble mariam, Av. Hassan II, Agadir 80000",,+212 5288-48868,https://www.google.com/url?q=https://drabouihiabrahim.com/&opi=79508299&sa=U&ved=0ahUKEwishe6aiaeOAxURYEEAHebuMowQ61gIFCgQ&usg=AOvVaw2yoHaX3L40KosUeW_jsKTI,"3,9",82,Fermé ⋅ Ouvre à 09:00 lun.,30.4185656,-9.5977505,https://www.google.com/maps/place/Cabinet+Dr+Abouihia+Brahim/data=!4m7!3m6!1s0xdb3b6f101ceeb13:0x9744bd3dc144de8b!8m2!3d30.4185656!4d-9.5977505!16s%2Fg%2F11f1jx6r0t!19sChIJE-vOAfG2sw0Ri95EwT29RJc?authuser=0&hl=fr&rclk=1,طبيب نفساني,0,francais,2025-07-06T02:23:47.348980,{},[],[]
